;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.36.29.904 E012.39.29.551 N055.36.29.808 E012.39.35.285 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.808 E012.39.35.285 N055.36.31.374 E012.39.35.299 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.374 E012.39.35.299 N055.36.31.250 E012.39.35.635 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.250 E012.39.35.635 N055.36.30.728 E012.39.36.792 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.728 E012.39.36.792 N055.36.27.899 E012.39.36.562 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.899 E012.39.36.562 N055.36.28.023 E012.39.39.175 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.28.023 E012.39.39.175 N055.36.29.341 E012.39.39.103 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.341 E012.39.39.103 N055.36.29.657 E012.39.39.463 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.657 E012.39.39.463 N055.36.29.863 E012.39.40.448 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.863 E012.39.40.448 N055.36.30.055 E012.39.41.908 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.055 E012.39.41.908 N055.36.30.069 E012.39.42.405 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.069 E012.39.42.405 N055.36.29.863 E012.39.42.814 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.863 E012.39.42.814 N055.36.27.693 E012.39.42.869 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.693 E012.39.42.869 N055.36.27.638 E012.39.47.198 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.638 E012.39.47.198 N055.36.29.355 E012.39.47.329 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.355 E012.39.47.329 N055.36.29.382 E012.39.46.865 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.382 E012.39.46.865 N055.36.30.097 E012.39.46.903 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.097 E012.39.46.903 N055.36.29.602 E012.39.49.056 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.602 E012.39.49.056 N055.36.28.792 E012.39.49.080 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.28.792 E012.39.49.080 N055.36.28.146 E012.39.50.741 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.28.146 E012.39.50.741 N055.36.27.721 E012.39.52.087 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.721 E012.39.52.087 N055.36.27.597 E012.39.56.739 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.597 E012.39.56.739 N055.36.27.940 E012.39.57.192 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.27.940 E012.39.57.192 N055.36.29.945 E012.39.57.285 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.29.945 E012.39.57.285 N055.36.30.206 E012.39.57.031 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.206 E012.39.57.031 N055.36.30.385 E012.39.56.591 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.385 E012.39.56.591 N055.36.31.360 E012.39.53.804 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.360 E012.39.53.804 N055.36.31.429 E012.39.53.337 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.429 E012.39.53.337 N055.36.31.429 E012.39.52.842 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.429 E012.39.52.842 N055.36.31.305 E012.39.52.537 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.305 E012.39.52.537 N055.36.30.440 E012.39.51.665 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.440 E012.39.51.665 N055.36.30.550 E012.39.49.148 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.550 E012.39.49.148 N055.36.30.921 E012.39.47.620 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.30.921 E012.39.47.620 N055.36.31.127 E012.39.47.243 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.127 E012.39.47.243 N055.36.31.484 E012.39.46.858 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.31.484 E012.39.46.858 N055.36.32.239 E012.39.46.711 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.32.239 E012.39.46.711 N055.36.45.436 E012.39.44.177 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.45.436 E012.39.44.177 N055.36.45.917 E012.39.43.943 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.45.917 E012.39.43.943 N055.36.46.356 E012.39.43.494 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.46.356 E012.39.43.494 N055.36.47.592 E012.39.41.784 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.47.592 E012.39.41.784 N055.36.49.240 E012.39.39.425 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.49.240 E012.39.39.425 N055.36.49.844 E012.39.38.708 COLOR_TaxiwayBorder  ; C > N1 (outer)
