;  >>> GROUND LAYOUT <<<
;====================================================================================================
;GND FILES
;
; >>> EKCH - København Kastrup <<<
;
; RWY outer markings
N055.36.49.844 E012.39.38.708 N055.36.50.353 E012.39.38.382 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.50.353 E012.39.38.382 N055.36.50.957 E012.39.38.299 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.50.957 E012.39.38.299 N055.36.51.616 E012.39.38.371 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.51.616 E012.39.38.371 N055.36.52.399 E012.39.38.842 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.52.399 E012.39.38.842 N055.36.55.447 E012.39.41.320 COLOR_TaxiwayBorder  ; C > N1 (outer)
N055.36.55.447 E012.39.41.320 N055.36.55.956 E012.39.42.083 COLOR_TaxiwayBorder  ; C > N1 (outer)
;
;
N055.36.44.565 E012.38.48.960 N055.36.44.653 E012.38.49.070 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.653 E012.38.49.070 N055.36.44.777 E012.38.49.080 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.777 E012.38.49.080 N055.36.44.914 E012.38.48.916 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.914 E012.38.48.916 N055.36.44.969 E012.38.48.744 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.969 E012.38.48.744 N055.36.44.997 E012.38.48.411 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.997 E012.38.48.411 N055.36.44.846 E012.38.47.553 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.846 E012.38.47.553 N055.36.44.708 E012.38.46.660 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.708 E012.38.46.660 N055.36.43.514 E012.38.39.921 COLOR_TaxiwayBorder ; B4 + B3
N055.36.43.514 E012.38.39.921 N055.36.42.278 E012.38.33.435 COLOR_TaxiwayBorder ; B4 + B3
N055.36.42.278 E012.38.33.435 N055.36.42.209 E012.38.32.182 COLOR_TaxiwayBorder ; B4 + B3
N055.36.42.209 E012.38.32.182 N055.36.42.278 E012.38.31.276 COLOR_TaxiwayBorder ; B4 + B3
N055.36.42.278 E012.38.31.276 N055.36.42.442 E012.38.30.284 COLOR_TaxiwayBorder ; B4 + B3
N055.36.42.442 E012.38.30.284 N055.36.42.745 E012.38.29.336 COLOR_TaxiwayBorder ; B4 + B3
N055.36.42.745 E012.38.29.336 N055.36.43.102 E012.38.28.581 COLOR_TaxiwayBorder ; B4 + B3
N055.36.43.102 E012.38.28.581 N055.36.43.527 E012.38.27.932 COLOR_TaxiwayBorder ; B4 + B3
N055.36.43.527 E012.38.27.932 N055.36.43.953 E012.38.27.568 COLOR_TaxiwayBorder ; B4 + B3
N055.36.43.953 E012.38.27.568 N055.36.44.310 E012.38.27.310 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.310 E012.38.27.310 N055.36.44.695 E012.38.27.201 COLOR_TaxiwayBorder ; B4 + B3
N055.36.44.695 E012.38.27.201 N055.36.43.088 E012.38.25.381 COLOR_TaxiwayBorder ; B4 + B3
N055.36.43.088 E012.38.25.381 N055.36.34.519 E012.38.15.538 COLOR_TaxiwayBorder ; B4 + B3
N055.36.34.519 E012.38.15.538 N055.36.31.786 E012.38.12.335 COLOR_TaxiwayBorder ; B4 + B3
N055.36.31.786 E012.38.12.335 N055.36.30.866 E012.38.11.439 COLOR_TaxiwayBorder ; B4 + B3
N055.36.30.866 E012.38.11.439 N055.36.29.753 E012.38.10.501 COLOR_TaxiwayBorder ; B4 + B3
N055.36.29.753 E012.38.10.501 N055.36.29.245 E012.38.10.391 COLOR_TaxiwayBorder ; B4 + B3
N055.36.29.245 E012.38.10.391 N055.36.28.833 E012.38.10.422 COLOR_TaxiwayBorder ; B4 + B3
N055.36.28.833 E012.38.10.422 N055.36.28.435 E012.38.10.642 COLOR_TaxiwayBorder ; B4 + B3
N055.36.28.435 E012.38.10.642 N055.36.28.064 E012.38.11.027 COLOR_TaxiwayBorder ; B4 + B3
N055.36.28.064 E012.38.11.027 N055.36.27.556 E012.38.11.748 COLOR_TaxiwayBorder ; B4 + B3
N055.36.27.556 E012.38.11.748 N055.36.27.020 E012.38.12.743 COLOR_TaxiwayBorder ; B4 + B3
N055.36.27.020 E012.38.12.743 N055.36.26.622 E012.38.13.825 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.622 E012.38.13.825 N055.36.26.416 E012.38.14.717 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.416 E012.38.14.717 N055.36.26.251 E012.38.15.734 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.251 E012.38.15.734 N055.36.26.224 E012.38.16.719 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.224 E012.38.16.719 N055.36.26.306 E012.38.18.020 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.306 E012.38.18.020 N055.36.26.485 E012.38.19.321 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.485 E012.38.19.321 N055.36.26.759 E012.38.20.701 COLOR_TaxiwayBorder ; B4 + B3
N055.36.26.759 E012.38.20.701 N055.36.27.048 E012.38.21.735 COLOR_TaxiwayBorder ; B4 + B3
N055.36.27.048 E012.38.21.735 N055.36.27.281 E012.38.22.198 COLOR_TaxiwayBorder ; B4 + B3
N055.36.27.281 E012.38.22.198 N055.36.44.565 E012.38.48.960 COLOR_TaxiwayBorder ; B4 + B3 at 22L
;
;
N055.36.23.948 E012.38.17.050 N055.36.28.243 E012.38.08.290 COLOR_TaxiwayBorder ; B3 + B2
N055.36.28.243 E012.38.08.290 N055.36.23.642 E012.38.02.948 COLOR_TaxiwayBorder ; B3 + B2
N055.36.23.642 E012.38.02.948 N055.36.22.571 E012.38.01.475 COLOR_TaxiwayBorder ; B3 + B2
N055.36.22.571 E012.38.01.475 N055.36.21.088 E012.37.59.151 COLOR_TaxiwayBorder ; B3 + B2
N055.36.21.088 E012.37.59.151 N055.36.19.687 E012.37.57.301 COLOR_TaxiwayBorder ; B3 + B2
N055.36.19.687 E012.37.57.301 N055.36.19.042 E012.37.56.665 COLOR_TaxiwayBorder ; B3 + B2
N055.36.19.042 E012.37.56.665 N055.36.18.657 E012.37.56.586 COLOR_TaxiwayBorder ; B3 + B2
N055.36.18.657 E012.37.56.586 N055.36.18.108 E012.37.56.669 COLOR_TaxiwayBorder ; B3 + B2
N055.36.18.108 E012.37.56.669 N055.36.17.572 E012.37.57.173 COLOR_TaxiwayBorder ; B3 + B2
N055.36.17.572 E012.37.57.173 N055.36.16.913 E012.37.58.111 COLOR_TaxiwayBorder ; B3 + B2
N055.36.16.913 E012.37.58.111 N055.36.16.103 E012.37.59.707 COLOR_TaxiwayBorder ; B3 + B2
N055.36.16.103 E012.37.59.707 N055.36.15.485 E012.38.01.369 COLOR_TaxiwayBorder ; B3 + B2
N055.36.15.485 E012.38.01.369 N055.36.15.265 E012.38.02.533 COLOR_TaxiwayBorder ; B3 + B2
N055.36.15.265 E012.38.02.533 N055.36.15.238 E012.38.03.202 COLOR_TaxiwayBorder ; B3 + B2
N055.36.15.238 E012.38.03.202 N055.36.15.361 E012.38.03.683 COLOR_TaxiwayBorder ; B3 + B2
N055.36.15.361 E012.38.03.683 N055.36.15.522 E012.38.03.990 COLOR_TaxiwayBorder ; B3 + B2
N055.36.15.522 E012.38.03.990 N055.36.23.948 E012.38.17.050 COLOR_TaxiwayBorder ; B3 + B2 at 22L
;
;
N055.36.13.506 E012.38.00.870 N055.36.13.699 E012.38.01.012 COLOR_TaxiwayBorder ; B2 + B1
N055.36.13.699 E012.38.01.012 N055.36.13.933 E012.38.00.991 COLOR_TaxiwayBorder ; B2 + B1
N055.36.13.933 E012.38.00.991 N055.36.14.276 E012.38.00.672 COLOR_TaxiwayBorder ; B2 + B1
N055.36.14.276 E012.38.00.672 N055.36.14.716 E012.38.00.119 COLOR_TaxiwayBorder ; B2 + B1
N055.36.14.716 E012.38.00.119 N055.36.15.512 E012.37.58.818 COLOR_TaxiwayBorder ; B2 + B1
N055.36.15.512 E012.37.58.818 N055.36.16.116 E012.37.57.620 COLOR_TaxiwayBorder ; B2 + B1
N055.36.16.116 E012.37.57.620 N055.36.16.721 E012.37.56.078 COLOR_TaxiwayBorder ; B2 + B1
N055.36.16.721 E012.37.56.078 N055.36.16.940 E012.37.55.488 COLOR_TaxiwayBorder ; B2 + B1
N055.36.16.940 E012.37.55.488 N055.36.17.064 E012.37.54.863 COLOR_TaxiwayBorder ; B2 + B1
N055.36.17.064 E012.37.54.863 N055.36.17.119 E012.37.54.345 COLOR_TaxiwayBorder ; B2 + B1
N055.36.17.119 E012.37.54.345 N055.36.17.078 E012.37.53.860 COLOR_TaxiwayBorder ; B2 + B1
N055.36.17.078 E012.37.53.860 N055.36.16.913 E012.37.53.421 COLOR_TaxiwayBorder ; B2 + B1
N055.36.16.913 E012.37.53.421 N055.36.16.611 E012.37.53.201 COLOR_TaxiwayBorder ; B2 + B1
N055.36.16.611 E012.37.53.201 N055.36.16.364 E012.37.53.040 COLOR_TaxiwayBorder ; B2 + B1
N055.36.16.364 E012.37.53.040 N055.36.15.993 E012.37.52.954 COLOR_TaxiwayBorder ; B2 + B1
N055.36.15.993 E012.37.52.954 N055.36.15.485 E012.37.53.256 COLOR_TaxiwayBorder ; B2 + B1
N055.36.15.485 E012.37.53.256 N055.36.14.894 E012.37.53.936 COLOR_TaxiwayBorder ; B2 + B1
N055.36.14.894 E012.37.53.936 N055.36.14.139 E012.37.55.155 COLOR_TaxiwayBorder ; B2 + B1
N055.36.14.139 E012.37.55.155 N055.36.13.974 E012.37.55.429 COLOR_TaxiwayBorder ; B2 + B1
N055.36.13.974 E012.37.55.429 N055.36.13.686 E012.37.56.078 COLOR_TaxiwayBorder ; B2 + B1
N055.36.13.686 E012.37.56.078 N055.36.13.274 E012.37.57.191 COLOR_TaxiwayBorder ; B2 + B1
N055.36.13.274 E012.37.57.191 N055.36.12.917 E012.37.58.433 COLOR_TaxiwayBorder ; B2 + B1
N055.36.12.917 E012.37.58.433 N055.36.12.862 E012.37.58.859 COLOR_TaxiwayBorder ; B2 + B1
N055.36.12.862 E012.37.58.859 N055.36.12.821 E012.37.59.206 COLOR_TaxiwayBorder ; B2 + B1
N055.36.12.821 E012.37.59.206 N055.36.12.889 E012.37.59.728 COLOR_TaxiwayBorder ; B2 + B1
N055.36.12.889 E012.37.59.728 N055.36.13.095 E012.38.00.233 COLOR_TaxiwayBorder ; B2 + B1
N055.36.13.095 E012.38.00.233 N055.36.13.506 E012.38.00.870 COLOR_TaxiwayBorder ; B2 + B1 at 22L
;
;
N055.36.57.576 E012.39.09.100 N055.36.57.398 E012.39.08.228 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.398 E012.39.08.228 N055.36.57.315 E012.39.07.256 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.315 E012.39.07.256 N055.36.57.288 E012.39.06.408 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.288 E012.39.06.408 N055.36.57.247 E012.39.04.904 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.247 E012.39.04.904 N055.36.57.384 E012.39.03.273 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.384 E012.39.03.273 N055.36.57.576 E012.39.01.989 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.576 E012.39.01.989 N055.36.57.796 E012.39.01.062 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.796 E012.39.01.062 N055.36.57.274 E012.39.01.567 COLOR_TaxiwayBorder ; ؠved B5
N055.36.57.274 E012.39.01.567 N055.36.56.409 E012.39.02.134 COLOR_TaxiwayBorder ; ؠved B5
N055.36.56.409 E012.39.02.134 N055.36.55.516 E012.39.02.549 COLOR_TaxiwayBorder ; ؠved B5
N055.36.55.516 E012.39.02.549 N055.36.54.830 E012.39.02.662 COLOR_TaxiwayBorder ; ؠved B5
N055.36.54.830 E012.39.02.662 N055.36.54.294 E012.39.02.679 COLOR_TaxiwayBorder ; ؠved B5
N055.36.54.294 E012.39.02.679 N055.36.53.786 E012.39.02.669 COLOR_TaxiwayBorder ; ؠved B5
N055.36.53.786 E012.39.02.669 N055.36.53.288 E012.39.02.470 COLOR_TaxiwayBorder ; ؠved B5
N055.36.53.288 E012.39.02.470 N055.36.57.576 E012.39.09.100 COLOR_TaxiwayBorder ; ؠved B5
;
;
N055.36.49.542 E012.38.47.745 N055.36.57.823 E012.38.45.040 COLOR_TaxiwayBorder ; C + B4
N055.36.57.823 E012.38.45.040 N055.36.58.510 E012.38.44.796 COLOR_TaxiwayBorder ; C + B4
N055.36.58.510 E012.38.44.796 N055.36.58.730 E012.38.44.549 COLOR_TaxiwayBorder ; C + B4
N055.36.58.730 E012.38.44.549 N055.36.58.840 E012.38.44.250 COLOR_TaxiwayBorder ; C + B4
N055.36.58.840 E012.38.44.250 N055.36.58.881 E012.38.43.924 COLOR_TaxiwayBorder ; C + B4
N055.36.58.881 E012.38.43.924 N055.36.58.853 E012.38.43.639 COLOR_TaxiwayBorder ; C + B4
N055.36.58.853 E012.38.43.639 N055.36.58.688 E012.38.43.295 COLOR_TaxiwayBorder ; C + B4
N055.36.58.688 E012.38.43.295 N055.36.48.018 E012.38.31.032 COLOR_TaxiwayBorder ; C + B4
N055.36.48.018 E012.38.31.032 N055.36.46.027 E012.38.29.075 COLOR_TaxiwayBorder ; C + B4
N055.36.46.027 E012.38.29.075 N055.36.45.587 E012.38.28.773 COLOR_TaxiwayBorder ; C + B4
N055.36.45.587 E012.38.28.773 N055.36.45.162 E012.38.28.691 COLOR_TaxiwayBorder ; C + B4
N055.36.45.162 E012.38.28.691 N055.36.44.722 E012.38.28.745 COLOR_TaxiwayBorder ; C + B4
N055.36.44.722 E012.38.28.745 N055.36.44.365 E012.38.28.924 COLOR_TaxiwayBorder ; C + B4
N055.36.44.365 E012.38.28.924 N055.36.44.008 E012.38.29.236 COLOR_TaxiwayBorder ; C + B4
N055.36.44.008 E012.38.29.236 N055.36.43.775 E012.38.29.563 COLOR_TaxiwayBorder ; C + B4
N055.36.43.775 E012.38.29.563 N055.36.43.555 E012.38.29.947 COLOR_TaxiwayBorder ; C + B4
N055.36.43.555 E012.38.29.947 N055.36.43.363 E012.38.30.414 COLOR_TaxiwayBorder ; C + B4
N055.36.43.363 E012.38.30.414 N055.36.43.211 E012.38.30.967 COLOR_TaxiwayBorder ; C + B4
N055.36.43.211 E012.38.30.967 N055.36.43.102 E012.38.31.650 COLOR_TaxiwayBorder ; C + B4
N055.36.43.102 E012.38.31.650 N055.36.43.074 E012.38.32.268 COLOR_TaxiwayBorder ; C + B4
N055.36.43.074 E012.38.32.268 N055.36.43.115 E012.38.33.013 COLOR_TaxiwayBorder ; C + B4
N055.36.43.115 E012.38.33.013 N055.36.43.266 E012.38.33.892 COLOR_TaxiwayBorder ; C + B4
N055.36.43.266 E012.38.33.892 N055.36.43.857 E012.38.37.706 COLOR_TaxiwayBorder ; C + B4
N055.36.43.857 E012.38.37.706 N055.36.44.187 E012.38.39.457 COLOR_TaxiwayBorder ; C + B4
N055.36.44.187 E012.38.39.457 N055.36.45.285 E012.38.45.129 COLOR_TaxiwayBorder ; C + B4
N055.36.45.285 E012.38.45.129 N055.36.45.834 E012.38.47.649 COLOR_TaxiwayBorder ; C + B4
N055.36.45.834 E012.38.47.649 N055.36.46.164 E012.38.48.871 COLOR_TaxiwayBorder ; C + B4
N055.36.46.164 E012.38.48.871 N055.36.49.199 E012.38.47.875 COLOR_TaxiwayBorder ; C + B4
N055.36.49.199 E012.38.47.875 N055.36.49.542 E012.38.47.745 COLOR_TaxiwayBorder ; C + B4
;
;
N055.36.52.138 E012.39.00.647 N055.36.53.195 E012.39.01.172 COLOR_TaxiwayBorder ; B5 + C
N055.36.53.195 E012.39.01.172 N055.36.54.102 E012.39.01.382 COLOR_TaxiwayBorder ; B5 + C
N055.36.54.102 E012.39.01.382 N055.36.55.324 E012.39.01.296 COLOR_TaxiwayBorder ; B5 + C
N055.36.55.324 E012.39.01.296 N055.36.56.189 E012.39.00.956 COLOR_TaxiwayBorder ; B5 + C
N055.36.56.189 E012.39.00.956 N055.36.57.260 E012.39.00.118 COLOR_TaxiwayBorder ; B5 + C
N055.36.57.260 E012.39.00.118 N055.36.58.002 E012.38.59.332 COLOR_TaxiwayBorder ; B5 + C
N055.36.58.002 E012.38.59.332 N055.36.58.702 E012.38.58.261 COLOR_TaxiwayBorder ; B5 + C
N055.36.58.702 E012.38.58.261 N055.36.59.210 E012.38.57.190 COLOR_TaxiwayBorder ; B5 + C
N055.36.59.210 E012.38.57.190 N055.37.00.309 E012.38.55.017 COLOR_TaxiwayBorder ; B5 + C
N055.37.00.309 E012.38.55.017 N055.37.00.968 E012.38.53.973 COLOR_TaxiwayBorder ; B5 + C
N055.37.00.968 E012.38.53.973 N055.37.01.847 E012.38.53.001 COLOR_TaxiwayBorder ; B5 + C
N055.37.01.847 E012.38.53.001 N055.37.02.602 E012.38.52.321 COLOR_TaxiwayBorder ; B5 + C
N055.37.02.602 E012.38.52.321 N055.37.03.454 E012.38.51.827 COLOR_TaxiwayBorder ; B5 + C
N055.37.03.454 E012.38.51.827 N055.37.04.140 E012.38.51.621 COLOR_TaxiwayBorder ; B5 + C
N055.37.04.140 E012.38.51.621 N055.37.04.868 E012.38.51.511 COLOR_TaxiwayBorder ; B5 + C
N055.37.04.868 E012.38.51.511 N055.37.05.871 E012.38.51.539 COLOR_TaxiwayBorder ; B5 + C
N055.37.05.871 E012.38.51.539 N055.37.00.639 E012.38.45.544 COLOR_TaxiwayBorder ; B5 + C
N055.37.00.639 E012.38.45.544 N055.37.00.542 E012.38.45.476 COLOR_TaxiwayBorder ; B5 + C
N055.37.00.542 E012.38.45.476 N055.37.00.433 E012.38.45.493 COLOR_TaxiwayBorder ; B5 + C
N055.37.00.433 E012.38.45.493 N055.36.49.460 E012.38.49.094 COLOR_TaxiwayBorder ; B5 + C
N055.36.49.460 E012.38.49.094 N055.36.46.521 E012.38.50.049 COLOR_TaxiwayBorder ; B5 + C
N055.36.46.521 E012.38.50.049 N055.36.47.167 E012.38.51.951 COLOR_TaxiwayBorder ; B5 + C
N055.36.47.167 E012.38.51.951 N055.36.48.142 E012.38.54.169 COLOR_TaxiwayBorder ; B5 + C
N055.36.48.142 E012.38.54.169 N055.36.49.226 E012.38.56.170 COLOR_TaxiwayBorder ; B5 + C
N055.36.49.226 E012.38.56.170 N055.36.50.586 E012.38.58.323 COLOR_TaxiwayBorder ; B5 + C ; @ Stopline C
;
;
N055.37.04.337 E012.39.19.574 N055.36.58.771 E012.39.10.957 COLOR_TaxiwayBorder ; B > 12
N055.36.58.771 E012.39.10.957 N055.36.58.208 E012.39.08.729 COLOR_TaxiwayBorder ; B + B5
N055.36.58.208 E012.39.08.729 N055.36.58.002 E012.39.06.810 COLOR_TaxiwayBorder ; B + B5
N055.36.58.002 E012.39.06.810 N055.36.58.029 E012.39.04.509 COLOR_TaxiwayBorder ; B + B5
N055.36.58.029 E012.39.04.509 N055.36.58.290 E012.39.02.281 COLOR_TaxiwayBorder ; B + B5
N055.36.58.290 E012.39.02.281 N055.36.58.716 E012.39.00.541 COLOR_TaxiwayBorder ; B + B5
N055.36.58.716 E012.39.00.541 N055.36.59.265 E012.38.59.002 COLOR_TaxiwayBorder ; B + B5
N055.36.59.265 E012.38.59.002 N055.37.00.419 E012.38.56.737 COLOR_TaxiwayBorder ; B + B5
N055.37.00.419 E012.38.56.737 N055.37.01.284 E012.38.55.161 COLOR_TaxiwayBorder ; B + B5
N055.37.01.284 E012.38.55.161 N055.37.02.438 E012.38.53.842 COLOR_TaxiwayBorder ; B + B5
N055.37.02.438 E012.38.53.842 N055.37.03.522 E012.38.53.197 COLOR_TaxiwayBorder ; B + B5
N055.37.03.522 E012.38.53.197 N055.37.04.882 E012.38.52.768 COLOR_TaxiwayBorder ; B + B5
N055.37.04.882 E012.38.52.768 N055.37.06.145 E012.38.52.912 COLOR_TaxiwayBorder ; B + B5
N055.37.06.145 E012.38.52.912 N055.37.07.326 E012.38.53.465 COLOR_TaxiwayBorder ; B + B5
N055.37.07.326 E012.38.53.465 N055.37.07.972 E012.38.53.973 COLOR_TaxiwayBorder ; B + B5
N055.37.07.972 E012.38.53.973 N055.37.10.210 E012.38.56.640 COLOR_TaxiwayBorder ; B + B5
N055.37.10.210 E012.38.56.640 N055.37.11.117 E012.38.57.911 COLOR_TaxiwayBorder ; B + B5
N055.37.11.117 E012.38.57.911 N055.37.11.529 E012.38.58.776 COLOR_TaxiwayBorder ; B + B5
N055.37.11.529 E012.38.58.776 N055.37.11.707 E012.38.59.184 COLOR_TaxiwayBorder ; B + B5
N055.37.11.707 E012.38.59.184 N055.37.11.652 E012.38.59.933 COLOR_TaxiwayBorder ; B + B5
N055.37.11.652 E012.38.59.933 N055.37.04.337 E012.39.19.574 COLOR_TaxiwayBorder
;
N055.37.03.948 E012.39.52.489 N055.36.59.540 E012.39.55.036 COLOR_TaxiwayBorder ; G inner
N055.36.59.540 E012.39.55.036 N055.36.58.112 E012.39.55.960 COLOR_TaxiwayBorder ; G inner
N055.36.58.112 E012.39.55.960 N055.36.56.889 E012.39.57.079 COLOR_TaxiwayBorder ; G inner
N055.36.56.889 E012.39.57.079 N055.36.55.873 E012.39.58.150 COLOR_TaxiwayBorder ; G inner
N055.36.55.873 E012.39.58.150 N055.36.55.351 E012.39.58.851 COLOR_TaxiwayBorder ; G inner
N055.36.55.351 E012.39.58.851 N055.36.54.088 E012.40.00.873 COLOR_TaxiwayBorder ; G inner
N055.36.54.088 E012.40.00.873 N055.36.53.923 E012.40.01.848 COLOR_TaxiwayBorder ; G inner
N055.36.53.923 E012.40.01.848 N055.36.54.514 E012.40.06.774 COLOR_TaxiwayBorder ; G inner
N055.36.54.514 E012.40.06.774 N055.36.52.207 E012.40.13.009 COLOR_TaxiwayBorder ; G inner
N055.36.52.207 E012.40.13.009 N055.36.52.124 E012.40.13.545 COLOR_TaxiwayBorder ; G inner
N055.36.52.124 E012.40.13.545 N055.36.52.179 E012.40.14.132 COLOR_TaxiwayBorder ; G inner
N055.36.52.179 E012.40.14.132 N055.36.52.921 E012.40.14.722 COLOR_TaxiwayBorder ; G inner
N055.36.52.921 E012.40.14.722 N055.36.53.607 E012.40.14.770 COLOR_TaxiwayBorder ; G inner
N055.36.53.607 E012.40.14.770 N055.36.54.321 E012.40.14.685 COLOR_TaxiwayBorder ; G inner
N055.36.54.321 E012.40.14.685 N055.36.55.063 E012.40.14.482 COLOR_TaxiwayBorder ; G inner
N055.36.55.063 E012.40.14.482 N055.37.04.594 E012.40.11.241 COLOR_TaxiwayBorder ; G inner
N055.37.04.594 E012.40.11.241 N055.37.06.049 E012.40.10.565 COLOR_TaxiwayBorder ; G inner
N055.37.06.049 E012.40.10.565 N055.37.06.667 E012.40.10.105 COLOR_TaxiwayBorder ; G inner
N055.37.06.667 E012.40.10.105 N055.37.07.107 E012.40.09.514 COLOR_TaxiwayBorder ; G inner
N055.37.07.107 E012.40.09.514 N055.37.07.244 E012.40.09.236 COLOR_TaxiwayBorder ; G inner
N055.37.07.244 E012.40.09.236 N055.37.07.326 E012.40.08.680 COLOR_TaxiwayBorder ; G inner
N055.37.07.326 E012.40.08.680 N055.37.07.395 E012.40.07.506 COLOR_TaxiwayBorder ; G inner
N055.37.07.395 E012.40.07.506 N055.37.07.313 E012.40.05.992 COLOR_TaxiwayBorder ; G inner
N055.37.07.313 E012.40.05.992 N055.37.07.011 E012.40.02.620 COLOR_TaxiwayBorder ; G inner
N055.37.07.011 E012.40.02.620 N055.37.06.338 E012.39.56.688 COLOR_TaxiwayBorder ; G inner
N055.37.06.338 E012.39.56.688 N055.37.05.994 E012.39.54.676 COLOR_TaxiwayBorder ; G inner
N055.37.05.994 E012.39.54.676 N055.37.05.830 E012.39.53.835 COLOR_TaxiwayBorder ; G inner
N055.37.05.830 E012.39.53.835 N055.37.05.582 E012.39.52.987 COLOR_TaxiwayBorder ; G inner
N055.37.05.582 E012.39.52.987 N055.37.05.280 E012.39.52.578 COLOR_TaxiwayBorder ; G inner
N055.37.05.280 E012.39.52.578 N055.37.04.923 E012.39.52.399 COLOR_TaxiwayBorder ; G inner
N055.37.04.923 E012.39.52.399 N055.37.04.484 E012.39.52.448 COLOR_TaxiwayBorder ; G inner
N055.37.04.484 E012.39.52.448 N055.37.03.948 E012.39.52.489 COLOR_TaxiwayBorder ; G inner @ TWY I / G2
;
;
N055.36.57.477 E012.39.42.954 N055.36.58.675 E012.39.44.119 COLOR_TaxiwayBorder ; G2 G1 @ G2
N055.36.58.675 E012.39.44.119 N055.36.59.155 E012.39.45.052 COLOR_TaxiwayBorder ; G2 G1
N055.36.59.155 E012.39.45.052 N055.36.59.430 E012.39.46.089 COLOR_TaxiwayBorder ; G2 G1
N055.36.59.430 E012.39.46.089 N055.36.59.815 E012.39.47.133 COLOR_TaxiwayBorder ; G2 G1
N055.36.59.815 E012.39.47.133 N055.37.00.295 E012.39.48.077 COLOR_TaxiwayBorder ; G2 G1
N055.37.00.295 E012.39.48.077 N055.37.00.831 E012.39.48.932 COLOR_TaxiwayBorder ; G2 G1
N055.37.00.831 E012.39.48.932 N055.37.01.380 E012.39.49.622 COLOR_TaxiwayBorder ; G2 G1
N055.37.01.380 E012.39.49.622 N055.37.01.971 E012.39.50.192 COLOR_TaxiwayBorder ; G2 G1
N055.37.01.971 E012.39.50.192 N055.37.02.644 E012.39.50.676 COLOR_TaxiwayBorder ; G2 G1
N055.37.02.644 E012.39.50.676 N055.37.03.385 E012.39.51.002 COLOR_TaxiwayBorder ; G2 G1
N055.37.03.385 E012.39.51.002 N055.37.03.825 E012.39.51.167 COLOR_TaxiwayBorder ; G2 G1
N055.37.03.825 E012.39.51.167 N055.37.02.644 E012.39.51.816 COLOR_TaxiwayBorder ; G2 G1
N055.37.02.644 E012.39.51.816 N055.36.58.908 E012.39.53.999 COLOR_TaxiwayBorder ; G2 G1
N055.36.58.908 E012.39.53.999 N055.36.57.425 E012.39.55.040 COLOR_TaxiwayBorder ; G2 G1
N055.36.57.425 E012.39.55.040 N055.36.55.818 E012.39.56.650 COLOR_TaxiwayBorder ; G2 G1
N055.36.55.818 E012.39.56.650 N055.36.54.884 E012.39.57.831 COLOR_TaxiwayBorder ; G2 G1
N055.36.54.884 E012.39.57.831 N055.36.53.813 E012.39.59.493 COLOR_TaxiwayBorder ; G2 G1
N055.36.53.813 E012.39.59.493 N055.36.52.879 E012.40.01.254 COLOR_TaxiwayBorder ; G2 G1
N055.36.52.879 E012.40.01.254 N055.36.51.849 E012.40.03.767 COLOR_TaxiwayBorder ; G2 G1
N055.36.51.849 E012.40.03.767 N055.36.49.529 E012.40.10.146 COLOR_TaxiwayBorder ; G2 G1
N055.36.49.529 E012.40.10.146 N055.36.49.089 E012.40.11.272 COLOR_TaxiwayBorder ; G2 G1
N055.36.49.089 E012.40.11.272 N055.36.48.032 E012.40.13.315 COLOR_TaxiwayBorder ; G2 G1
N055.36.48.032 E012.40.13.315 N055.36.47.675 E012.40.13.854 COLOR_TaxiwayBorder ; G2 G1
N055.36.47.675 E012.40.13.854 N055.36.47.400 E012.40.14.019 COLOR_TaxiwayBorder ; G2 G1
N055.36.47.400 E012.40.14.019 N055.36.47.167 E012.40.13.988 COLOR_TaxiwayBorder ; G2 G1
N055.36.47.167 E012.40.13.988 N055.36.47.029 E012.40.13.809 COLOR_TaxiwayBorder ; G2 G1
N055.36.47.029 E012.40.13.809 N055.36.46.645 E012.40.12.916 COLOR_TaxiwayBorder ; G2 G1
