;>>>>> Roenne Airport  <<<<<
N055.04.08.428 E014.45.00.961 N055.04.08.304 E014.45.01.421 COLOR_Building2 ; Terminal
N055.04.08.304 E014.45.01.421 N055.04.08.194 E014.45.01.328 COLOR_Building2 ; Terminal
N055.04.08.194 E014.45.01.328 N055.04.08.085 E014.45.01.774 COLOR_Building2 ; Terminal
N055.04.08.085 E014.45.01.774 N055.04.08.359 E014.45.01.987 COLOR_Building2 ; Terminal
N055.04.08.359 E014.45.01.987 N055.04.08.497 E014.45.01.479 COLOR_Building2 ; Terminal
N055.04.08.497 E014.45.01.479 N055.04.08.730 E014.45.01.661 COLOR_Building2 ; Terminal
N055.04.08.730 E014.45.01.661 N055.04.08.675 E014.45.01.877 COLOR_Building2 ; Terminal
N055.04.08.675 E014.45.01.877 N055.04.09.005 E014.45.02.114 COLOR_Building2 ; Terminal
N055.04.09.005 E014.45.02.114 N055.04.09.156 E014.45.01.517 COLOR_Building2 ; Terminal
N055.04.09.156 E014.45.01.517 N055.04.09.183 E014.45.01.534 COLOR_Building2 ; Terminal
N055.04.09.183 E014.45.01.534 N055.04.10.282 E014.44.57.174 COLOR_Building2 ; Terminal
N055.04.10.282 E014.44.57.174 N055.04.10.172 E014.44.57.085 COLOR_Building2 ; Terminal
N055.04.10.172 E014.44.57.085 N055.04.10.186 E014.44.57.002 COLOR_Building2 ; Terminal
N055.04.10.186 E014.44.57.002 N055.04.09.993 E014.44.56.844 COLOR_Building2 ; Terminal
N055.04.09.993 E014.44.56.844 N055.04.10.007 E014.44.56.772 COLOR_Building2 ; Terminal
N055.04.10.007 E014.44.56.772 N055.04.09.884 E014.44.56.226 COLOR_Building2 ; Terminal
N055.04.09.884 E014.44.56.226 N055.04.09.993 E014.44.56.309 COLOR_Building2 ; Terminal
N055.04.09.993 E014.44.56.309 N055.04.10.076 E014.44.55.921 COLOR_Building2 ; Terminal
N055.04.10.076 E014.44.55.921 N055.04.10.186 E014.44.55.921 COLOR_Building2 ; Terminal
N055.04.10.186 E014.44.55.921 N055.04.10.268 E014.44.55.578 COLOR_Building2 ; Terminal
N055.04.10.268 E014.44.55.578 N055.04.10.199 E014.44.55.468 COLOR_Building2 ; Terminal
N055.04.10.199 E014.44.55.468 N055.04.10.378 E014.44.54.726 COLOR_Building2 ; Terminal
N055.04.10.378 E014.44.54.726 N055.04.09.897 E014.44.54.355 COLOR_Building2 ; Terminal
N055.04.09.897 E014.44.54.355 N055.04.09.499 E014.44.55.945 COLOR_Building2 ; Terminal
N055.04.09.499 E014.44.55.945 N055.04.09.732 E014.44.56.123 COLOR_Building2 ; Terminal
N055.04.09.732 E014.44.56.123 N055.04.09.595 E014.44.56.638 COLOR_Building2 ; Terminal
N055.04.09.595 E014.44.56.638 N055.04.09.389 E014.44.56.494 COLOR_Building2 ; Terminal
N055.04.09.389 E014.44.56.494 N055.04.08.291 E014.45.00.854 COLOR_Building2 ; Terminal
;
N055.03.56.219 E014.45.00.899 N055.03.57.084 E014.44.57.548 COLOR_HardSurface1 ; Main 1
N055.03.57.084 E014.44.57.548 N055.03.57.208 E014.44.57.064 COLOR_HardSurface1 ; Main 1
N055.03.57.208 E014.44.57.064 N055.03.57.387 E014.44.56.669 COLOR_HardSurface1 ; Main 1
N055.03.57.387 E014.44.56.669 N055.03.57.744 E014.44.55.996 COLOR_HardSurface1 ; Main 1
N055.03.57.744 E014.44.55.996 N055.03.58.032 E014.44.55.509 COLOR_HardSurface1 ; Main 1
N055.03.58.032 E014.44.55.509 N055.03.58.362 E014.44.55.124 COLOR_HardSurface1 ; Main 1
N055.03.58.362 E014.44.55.124 N055.03.58.705 E014.44.54.836 COLOR_HardSurface1 ; Main 1
N055.03.58.705 E014.44.54.836 N055.03.59.089 E014.44.54.613 COLOR_HardSurface1 ; Main 1
N055.03.59.089 E014.44.54.613 N055.03.59.433 E014.44.54.421 COLOR_HardSurface1 ; Main 1
N055.03.59.433 E014.44.54.421 N055.03.59.694 E014.44.54.400 COLOR_HardSurface1 ; Main 1
N055.03.59.694 E014.44.54.400 N055.04.00.943 E014.44.54.441 COLOR_HardSurface1 ; Main 1
N055.04.00.943 E014.44.54.441 N055.04.03.017 E014.44.54.517 COLOR_HardSurface1 ; Main 1
N055.04.03.017 E014.44.54.517 N055.04.04.871 E014.44.54.613 COLOR_HardSurface1 ; Main 1
N055.04.04.871 E014.44.54.613 N055.04.05.613 E014.44.54.644 COLOR_HardSurface1 ; Main 1
N055.04.05.613 E014.44.54.644 N055.04.05.942 E014.44.54.623 COLOR_HardSurface1 ; Main 1
N055.04.05.942 E014.44.54.623 N055.04.06.258 E014.44.54.400 COLOR_HardSurface1 ; Main 1
N055.04.06.258 E014.44.54.400 N055.04.06.478 E014.44.54.115 COLOR_HardSurface1 ; Main 1
N055.04.06.478 E014.44.54.115 N055.04.06.697 E014.44.53.689 COLOR_HardSurface1 ; Main 1
N055.04.06.697 E014.44.53.689 N055.04.07.975 E014.44.50.768 COLOR_HardSurface1 ; Main 1
N055.04.07.975 E014.44.50.768 N055.04.08.593 E014.44.49.350 COLOR_HardSurface1 ; Main 1
;
N055.03.59.295 E014.44.48.684 N055.03.58.554 E014.44.51.602 COLOR_HardSurface1 ; RWY Turnoff
