N057.05.45.574 E009.50.24.731 N057.05.45.753 E009.50.24.542 COLOR_TaxiwayBorder ; Island G H
N057.05.45.753 E009.50.24.542 N057.05.45.904 E009.50.24.542 COLOR_TaxiwayBorder ; Island G H
N057.05.45.904 E009.50.24.542 N057.05.46.055 E009.50.24.611 COLOR_TaxiwayBorder ; Island G H
N057.05.46.055 E009.50.24.611 N057.05.46.179 E009.50.24.762 COLOR_TaxiwayBorder ; Island G H
N057.05.46.179 E009.50.24.762 N057.05.46.343 E009.50.25.033 COLOR_TaxiwayBorder ; Island G H
N057.05.46.343 E009.50.25.033 N057.05.46.453 E009.50.25.322 COLOR_TaxiwayBorder ; Island G H
N057.05.46.453 E009.50.25.322 N057.05.46.508 E009.50.25.483 COLOR_TaxiwayBorder ; Island G H
N057.05.46.508 E009.50.25.483 N057.05.50.642 E009.51.29.791 COLOR_TaxiwayBorder ; Island G H
N057.05.50.642 E009.51.29.791 N057.05.50.601 E009.51.30.097 COLOR_TaxiwayBorder ; Island G H
N057.05.50.601 E009.51.30.097 N057.05.50.532 E009.51.30.330 COLOR_TaxiwayBorder ; Island G H
N057.05.50.532 E009.51.30.330 N057.05.50.463 E009.51.30.454 COLOR_TaxiwayBorder ; Island G H
N057.05.50.463 E009.51.30.454 N057.05.50.354 E009.51.30.505 COLOR_TaxiwayBorder ; Island G H
N057.05.50.354 E009.51.30.505 N057.05.50.230 E009.51.30.471 COLOR_TaxiwayBorder ; Island G H
N057.05.50.230 E009.51.30.471 N057.05.50.093 E009.51.30.347 COLOR_TaxiwayBorder ; Island G H
N057.05.50.093 E009.51.30.347 N057.05.47.882 E009.51.27.837 COLOR_TaxiwayBorder ; Island G H
N057.05.47.882 E009.51.27.837 N057.05.43.420 E009.51.22.789 COLOR_TaxiwayBorder ; Island G H
;
;
N057.05.43.674 E009.51.26.730 N057.05.43.696 E009.51.26.453 COLOR_TaxiwayBorder ; Island H J
N057.05.43.696 E009.51.26.453 N057.05.43.734 E009.51.26.310 COLOR_TaxiwayBorder ; Island H J
N057.05.43.734 E009.51.26.310 N057.05.43.885 E009.51.25.942 COLOR_TaxiwayBorder ; Island H J
N057.05.43.885 E009.51.25.942 N057.05.44.009 E009.51.25.647 COLOR_TaxiwayBorder ; Island H J
N057.05.44.009 E009.51.25.647 N057.05.44.160 E009.51.25.420 COLOR_TaxiwayBorder ; Island H J
N057.05.44.160 E009.51.25.420 N057.05.44.256 E009.51.25.328 COLOR_TaxiwayBorder ; Island H J
N057.05.44.256 E009.51.25.328 N057.05.44.325 E009.51.25.300 COLOR_TaxiwayBorder ; Island H J
N057.05.44.325 E009.51.25.300 N057.05.44.421 E009.51.25.311 COLOR_TaxiwayBorder ; Island H J
N057.05.44.421 E009.51.25.311 N057.05.44.517 E009.51.25.345 COLOR_TaxiwayBorder ; Island H J
N057.05.44.517 E009.51.25.345 N057.05.44.627 E009.51.25.410 COLOR_TaxiwayBorder ; Island H J
N057.05.44.627 E009.51.25.410 N057.05.44.819 E009.51.25.609 COLOR_TaxiwayBorder ; Island H J
N057.05.44.819 E009.51.25.609 N057.05.45.918 E009.51.26.790 COLOR_TaxiwayBorder ; Island H J
N057.05.45.918 E009.51.26.790 N057.05.50.299 E009.51.31.738 COLOR_TaxiwayBorder ; Island H J
N057.05.50.299 E009.51.31.738 N057.05.50.573 E009.51.32.060 COLOR_TaxiwayBorder ; Island H J
N057.05.50.573 E009.51.32.060 N057.05.50.683 E009.51.32.239 COLOR_TaxiwayBorder ; Island H J
N057.05.50.683 E009.51.32.239 N057.05.50.807 E009.51.32.520 COLOR_TaxiwayBorder ; Island H J
N057.05.50.807 E009.51.32.520 N057.05.50.862 E009.51.32.744 COLOR_TaxiwayBorder ; Island H J
N057.05.50.862 E009.51.32.744 N057.05.52.880 E009.52.04.858 COLOR_TaxiwayBorder ; Island H J
N057.05.52.880 E009.52.04.858 N057.05.52.867 E009.52.05.445 COLOR_TaxiwayBorder ; Island H J
N057.05.52.867 E009.52.05.445 N057.05.52.784 E009.52.05.843 COLOR_TaxiwayBorder ; Island H J
N057.05.52.784 E009.52.05.843 N057.05.52.606 E009.52.06.310 COLOR_TaxiwayBorder ; Island H J
N057.05.52.606 E009.52.06.310 N057.05.52.372 E009.52.06.647 COLOR_TaxiwayBorder ; Island H J
N057.05.52.372 E009.52.06.647 N057.05.52.084 E009.52.06.808 COLOR_TaxiwayBorder ; Island H J
N057.05.52.084 E009.52.06.808 N057.05.51.672 E009.52.06.787 COLOR_TaxiwayBorder ; Island H J
N057.05.51.672 E009.52.06.787 N057.05.47.154 E009.52.03.588 COLOR_TaxiwayBorder ; Island H J
N057.05.47.154 E009.52.03.588 N057.05.46.797 E009.52.03.207 COLOR_TaxiwayBorder ; Island H J
N057.05.46.797 E009.52.03.207 N057.05.46.536 E009.52.02.904 COLOR_TaxiwayBorder ; Island H J
N057.05.46.536 E009.52.02.904 N057.05.46.289 E009.52.02.438 COLOR_TaxiwayBorder ; Island H J
N057.05.46.289 E009.52.02.438 N057.05.45.951 E009.52.02.106 COLOR_TaxiwayBorder ; Island H J
N057.05.45.951 E009.52.02.106 N057.05.43.674 E009.51.26.730 COLOR_TaxiwayBorder ; 26R / 08L
;
N057.05.46.147 E009.52.05.149 N057.05.46.467 E009.52.05.517 COLOR_TaxiwayBorder ; Island J K
N057.05.46.467 E009.52.05.517 N057.05.46.508 E009.52.05.263 COLOR_TaxiwayBorder ; Island J K
N057.05.46.508 E009.52.05.263 N057.05.46.632 E009.52.05.030 COLOR_TaxiwayBorder ; Island J K
N057.05.46.632 E009.52.05.030 N057.05.46.838 E009.52.04.806 COLOR_TaxiwayBorder ; Island J K
N057.05.46.838 E009.52.04.806 N057.05.47.058 E009.52.04.683 COLOR_TaxiwayBorder ; Island J K
N057.05.47.058 E009.52.04.683 N057.05.47.277 E009.52.04.666 COLOR_TaxiwayBorder ; Island J K
N057.05.47.277 E009.52.04.666 N057.05.47.415 E009.52.04.697 COLOR_TaxiwayBorder ; Island J K
N057.05.47.415 E009.52.04.697 N057.05.52.001 E009.52.07.931 COLOR_TaxiwayBorder ; Island J K
N057.05.52.001 E009.52.07.931 N057.05.52.400 E009.52.08.367 COLOR_TaxiwayBorder ; Island J K
N057.05.52.400 E009.52.08.367 N057.05.52.702 E009.52.08.827 COLOR_TaxiwayBorder ; Island J K
N057.05.52.702 E009.52.08.827 N057.05.52.922 E009.52.09.307 COLOR_TaxiwayBorder ; Island J K
N057.05.52.922 E009.52.09.307 N057.05.53.114 E009.52.09.929 COLOR_TaxiwayBorder ; Island J K
N057.05.53.114 E009.52.09.929 N057.05.53.251 E009.52.10.605 COLOR_TaxiwayBorder ; Island J K
N057.05.53.251 E009.52.10.605 N057.05.54.940 E009.52.37.065 COLOR_TaxiwayBorder ; Island J K
N057.05.54.940 E009.52.37.065 N057.05.54.789 E009.52.38.002 COLOR_TaxiwayBorder ; Island J K
N057.05.54.789 E009.52.38.002 N057.05.54.707 E009.52.38.287 COLOR_TaxiwayBorder ; Island J K
N057.05.54.707 E009.52.38.287 N057.05.54.487 E009.52.38.730 COLOR_TaxiwayBorder ; Island J K
N057.05.54.487 E009.52.38.730 N057.05.54.144 E009.52.39.166 COLOR_TaxiwayBorder ; Island J K
N057.05.54.144 E009.52.39.166 N057.05.53.237 E009.52.39.568 COLOR_TaxiwayBorder ; Island J K
N057.05.53.237 E009.52.39.568 N057.05.52.839 E009.52.39.568 COLOR_TaxiwayBorder ; Island J K
N057.05.52.839 E009.52.39.568 N057.05.52.455 E009.52.39.486 COLOR_TaxiwayBorder ; Island J K
N057.05.52.455 E009.52.39.486 N057.05.52.111 E009.52.39.341 COLOR_TaxiwayBorder ; Island J K
N057.05.52.111 E009.52.39.341 N057.05.48.980 E009.52.36.238 COLOR_TaxiwayBorder ; Island J K
N057.05.48.980 E009.52.36.238 N057.05.48.678 E009.52.35.771 COLOR_TaxiwayBorder ; Island J K
N057.05.48.678 E009.52.35.771 N057.05.48.294 E009.52.34.919 COLOR_TaxiwayBorder ; Island J K
N057.05.48.294 E009.52.34.919 N057.05.48.009 E009.52.34.080 COLOR_TaxiwayBorder ; Island J K
