; >>> EKAH - aarhus <<<
N056.18.18.719 E010.35.54.429 N056.18.15.916 E010.36.22.196 COLOR_TaxiwayBorder
;
;
N056.18.15.440 E010.36.26.915 N056.18.15.405 E010.36.26.234 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.15.405 E010.36.26.234 N056.18.15.336 E010.36.25.829 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.15.336 E010.36.25.829 N056.18.14.966 E010.36.24.892 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.14.966 E010.36.24.892 N056.18.14.842 E010.36.24.600 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.14.842 E010.36.24.600 N056.18.14.581 E010.36.24.315 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.14.581 E010.36.24.315 N056.18.14.361 E010.36.24.088 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.14.361 E010.36.24.088 N056.18.10.791 E010.36.22.925 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.10.791 E010.36.22.925 N056.18.10.310 E010.36.23.014 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.10.310 E010.36.23.014 N056.18.09.926 E010.36.23.563 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.09.926 E010.36.23.563 N056.18.09.761 E010.36.24.099 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.09.761 E010.36.24.099 N056.18.02.084 E010.37.40.261 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.02.084 E010.37.40.261 N056.18.02.139 E010.37.40.910 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.02.139 E010.37.40.910 N056.18.02.304 E010.37.41.432 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.02.304 E010.37.41.432 N056.18.02.661 E010.37.41.899 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.02.661 E010.37.41.899 N056.18.02.839 E010.37.42.012 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.02.839 E010.37.42.012 N056.18.06.163 E010.37.43.111 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.06.163 E010.37.43.111 N056.18.06.561 E010.37.43.046 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.06.561 E010.37.43.046 N056.18.06.904 E010.37.42.816 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.06.904 E010.37.42.816 N056.18.07.234 E010.37.42.466 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.07.234 E010.37.42.466 N056.18.07.591 E010.37.41.600 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.07.591 E010.37.41.600 N056.18.07.955 E010.37.41.090 COLOR_TaxiwayBorder ; South TWY Y E
N056.18.07.955 E010.37.41.090 N056.18.15.440 E010.36.26.915 COLOR_TaxiwayBorder
;
;
N056.18.07.424 E010.37.46.340 N056.18.07.220 E010.37.45.758 COLOR_TaxiwayBorder ; South TWY E X
N056.18.07.220 E010.37.45.758 N056.18.07.097 E010.37.44.972 COLOR_TaxiwayBorder ; South TWY E X
N056.18.07.097 E010.37.44.972 N056.18.06.946 E010.37.44.625 COLOR_TaxiwayBorder ; South TWY E X
N056.18.06.946 E010.37.44.625 N056.18.06.575 E010.37.44.120 COLOR_TaxiwayBorder ; South TWY E X
N056.18.06.575 E010.37.44.120 N056.18.02.606 E010.37.42.826 COLOR_TaxiwayBorder ; South TWY E X
N056.18.02.606 E010.37.42.826 N056.18.02.304 E010.37.42.984 COLOR_TaxiwayBorder ; South TWY E X
